seller,seller_city,total_sales,revenue,seller_state
6560211a19b47992c3666cc44a7e94c0,"Sao Paulo",1819,148051,SP
4a3ca9315b744ce9f8e9374361493884,Ibitinga,1772,231220,SP
cc419e0650a3c5ba77189a1882b7556a,"Santo Andre",1651,125937,SP
1f50f920176fa81dab994f9023523100,"Sao Jose Do Rio Preto",1399,141713,SP
da8622b14eb17ae2831f4ac5b9dab84a,Piracicaba,1311,184707,SP
955fee9216a65b617aa5c0531780ce60,"Sao Paulo",1261,156606,SP
7a67c85e85bb2ce8582c35f2203ad736,"Sao Paulo",1145,160279,SP
ea8482cd71df3c1969d7b9473ff13abc,"Sao Paulo",1132,53989,SP
4869f7a5dfa277a7dca6462dcf3b52b2,Guariba,1124,247007,SP
3d871de0142ce09b7081e2b9d1733cb1,"Campo Limpo Paulista",1064,115516,SP
