seller,seller_city,total_sales,revenue,seller_state
4869f7a5dfa277a7dca6462dcf3b52b2,Guariba,1124,247007,SP
7c67e1448b00f6e969d365cea6b010ab,Itaquaquecetuba,973,237807,SP
4a3ca9315b744ce9f8e9374361493884,Ibitinga,1772,231220,SP
53243585a1d6dc2643021fd1853d8905,"Lauro De Freitas",348,230797,BA
fa1c13f2614d7b5c4749cbc52fecda94,Sumare,578,200834,SP
da8622b14eb17ae2831f4ac5b9dab84a,Piracicaba,1311,184707,SP
7e93a43ef30c4f03f38b393420bc753a,Barueri,319,171974,SP
1025f0e2d44d7041d6cf58b6550e0bfa,"Sao Paulo",910,171925,SP
7a67c85e85bb2ce8582c35f2203ad736,"Sao Paulo",1145,160279,SP
955fee9216a65b617aa5c0531780ce60,"Sao Paulo",1261,156606,SP
